category_id	mpn                              	name                                                                  	available	price	
          1	HP Z230                          	HP Z230/E3-1270/16GB/500GB HDD/None                                   	        2	 58.0	
          1	HP Z230                          	HP Z230/E3-1271 v3/16GB/500GB HDD/None                                	        1	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270/16GB/500GB HDD/Windows 7 Pro              	        3	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270 v3/16GB/500GB HDD/None                    	        1	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1270 v3/16GB/500GB HDD/Windows 7 Pro           	        1	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1271 v3/16GB/500GB HDD/Windows 7 Pro           	        1	 58.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/E3-1271 v3/16GB/500GB HDD/None                    	        3	 90.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i5-4570/4GB/500GB HDD/None                        	        1	 56.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i5-4570/4GB/500GB HDD/None                        	        5	 56.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4770/4GB/500GB HDD/Windows 7 Pro               	        2	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4770/4GB/500GB HDD/Windows 8 Pro               	        1	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4790/4GB/500GB HDD/Windows 7 Pro               	        1	 76.0	
          1	HP Z230 Workstation              	HP Z230 Workstation/i7-4790/4GB/500GB HDD/Windows 8 Pro               	        3	 76.0	
          1	HP Z240 Workstation              	HP Z240 Workstation/i7-6700/8GB/256GB SSD/Windows 8 Pro               	        1	 76.0	
          1	HP Z420 Workstation              	HP Z420 Workstation/E5-1680 v2/16GB/500GB HDD/None                    	        1	 85.0	
          1	HP Z440                          	HP Z440/E5-1620 v3/16GB/500GB HDD/Windows 7 Pro                       	        7	 90.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/2 X E5-2667/16GB/500GB HDD/Windows 7 Pro          	        1	180.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/E5-2620 v2/16GB/500GB HDD/Windows 7 Pro           	        1	125.0	
          1	HP Z620 Workstation              	HP Z620 Workstation/E5-2620 v2/16GB/500GB HDD/Windows 8 Pro           	        2	125.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2643 v2/16GB/500GB HDD/None                	       10	200.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2643 v2/16GB/500GB HDD/Windows 7 Pro       	        1	200.0	
          1	HP Z820 Workstation              	HP Z820 Workstation/2 x E5-2665/16GB/500GB HDD/None                   	        1	180.0	
          1	Intel NUC8i7BEH                  	Intel NUC8i7BEH/i7-8559U/8GB/256GB SSD/None                           	        2	245.0	
          1	Lenovo ThinkCentre E73           	Lenovo ThinkCentre E73/G3220/4GB/500GB HDD/None                       	        2	 28.0	
          1	Lenovo ThinkCentre M710q         	Lenovo ThinkCentre M710q/i5-6500T/8GB/256GB SSD/Windows 10 Pro        	        3	 96.0	
          1	Lenovo Thinkcentre M710s         	Lenovo Thinkcentre M710s/G4400/4GB/500GB HDD/None                     	        5	 38.0	
          1	Lenovo ThinkCentre M710s         	Lenovo ThinkCentre M710s/G4560/4GB/500GB HDD/Windows 10 Pro           	       10	 38.0	
          1	Lenovo ThinkCentre M800          	Lenovo ThinkCentre M800/G4500/4GB/500GB HDD/Windows 8 Pro             	       26	 38.0	
          1	Lenovo ThinkCentre M800          	Lenovo ThinkCentre M800/i5-6500/8GB/256GB SSD/Windows 8 Pro           	        2	 96.0	
          1	Lenovo ThinkCentre M82           	Lenovo ThinkCentre M82/G2120/4GB/500GB HDD/Windows 7 Pro              	        1	 18.0	
          1	Lenovo ThinkCentre M82           	Lenovo ThinkCentre M82/i5-3550/4GB/500GB HDD/Windows 7 Pro            	        1	 36.0	
          1	Lenovo ThinkCentre M83           	Lenovo ThinkCentre M83/i5-4590T/4GB/500GB HDD/Windows 8               	        1	 56.0	
          1	Lenovo ThinkCentre M83           	Lenovo ThinkCentre M83/i5-4670/4GB/500GB HDD/Windows 8 Pro            	        1	 56.0	
          1	Lenovo ThinkCentre M900          	Lenovo ThinkCentre M900/G4500T/4GB/500GB HDD/Windows 8 Pro            	        4	 38.0	
          1	Lenovo ThinkCentre M910q         	Lenovo ThinkCentre M910q/G4600T/4GB/500GB HDD/Windows 10 Pro          	        1	 38.0	
          1	Lenovo ThinkCentre M92p          	Lenovo ThinkCentre M92p/i5-3470/4GB/500GB HDD/Windows 7 Pro           	        1	 36.0	
          1	Lenovo ThinkCentre M92p          	Lenovo ThinkCentre M92p/i5-3470T/4GB/500GB HDD/Windows 7 Pro          	        2	 36.0	
          1	Lenovo ThinkCentre M92p          	Lenovo ThinkCentre M92p/i5-3550/4GB/500GB HDD/None                    	        1	 36.0	
          1	Lenovo ThinkCentre M93p          	Lenovo ThinkCentre M93p/i5-4570/4GB/500GB HDD/Windows 7 Pro           	        8	 56.0	
          1	Lenovo ThinkCentre M93p          	Lenovo ThinkCentre M93p/i5-4570/4GB/500GB HDD/None                    	        1	 56.0	
          1	Lenovo ThinkCentre M93p          	Lenovo ThinkCentre M93p/i5-4570/4GB/500GB HDD/None                    	        2	 56.0	
          1	Lenovo ThinkCentre M93p          	Lenovo ThinkCentre M93p/i5-4670/4GB/500GB HDD/None                    	        1	 56.0	
          1	Lenovo ThinkCentre M93p          	Lenovo ThinkCentre M93p/i7-4770/4GB/500GB HDD/None                    	        1	 76.0	
          1	Lenovo Thinkstation C30          	Lenovo Thinkstation C30/E5-2620/16GB/500GB HDD/Windows 7 Pro          	        1	105.0	
          1	Lenovo ThinkStation D20          	Lenovo ThinkStation D20/2 x X5650/16GB/500GB HDD/Windows 7 Pro        	        1	 58.0	
          1	Lenovo Thinkstation P310         	Lenovo Thinkstation P310/i5-6500/8GB/256GB SSD/None                   	        1	 96.0	
          1	Lenovo Thinkstation P310         	Lenovo Thinkstation P310/i7-6700/8GB/256GB SSD/Windows 8 Pro          	        1	132.0	
          1	Lenovo ThinkStation P520         	Lenovo ThinkStation P520/W-2123/16GB/500GB HDD/Windows 10 Pro         	        4	245.0	
          1	UNKNOWN PC                       	UNKNOWN PC /i5-4440/4GB/500GB HDD/None                                	        1	 56.0	
          2	Acer B243HL WMDR                 	Acer B243HL WMDR/24"/A/White                                          	        1	 27.0	
          2	Acer B243HL WMDR                 	Acer B243HL WMDR/24"/A-/White                                         	        1	 25.0	
          2	Acer B246HL WMDPR                	Acer B246HL WMDPR/24"/A/White                                         	     2235	 29.0	
          2	Acer B246HL WMDPRZ               	Acer B246HL WMDPRZ/24"/A/White                                        	       88	 31.0	
          2	Acer B246HL WMDPRZ               	Acer B246HL WMDPRZ/24"/A-/White                                       	        3	 29.0	
          2	Acer B246HL WMDPRZ               	Acer B246HL WMDPRZ/24"/B/White                                        	        2	 24.8	
          2	Acer B246HL WMDR                 	Acer B246HL WMDR/24"/A/White                                          	      296	 27.0	
          2	Acer B246HL WMDR                 	Acer B246HL WMDR/24"/A-/White                                         	       13	 25.0	
          2	Acer B246HL WMDR                 	Acer B246HL WMDR/24"/B/White                                          	        3	 21.6	
          2	Acer B246HL WMDR                 	Acer B246HL WMDR/24"/C/White                                          	        1	 13.5	
          2	Acer B276HUL                     	Acer B276HUL/27"/A/Black                                              	        2	 64.0	
          2	Acer B276HUL                     	Acer B276HUL/27"/A-/Black                                             	        3	 62.0	
          2	Acer CB241H                      	Acer CB241H/24"/A-/Black                                              	        2	 34.0	
          2	Acer CZ340CK                     	Acer CZ340CK/34"/B/Black                                              	        1	169.6	
          2	Acer V206HQL                     	Acer V206HQL/20"/B-/Black                                             	        1	 11.2	
          2	Apple Cinema Display A1081       	Apple Cinema Display A1081/20"/A-/Silver                              	        1	 46.0	
          2	Apple Cinema Display A1082       	Apple Cinema Display A1082/23"/A-/Silver                              	        1	 46.0	
          2	Apple Cinema Display A1316       	Apple Cinema Display A1316/27"/A-/Silver                              	        2	 76.0	
          2	Apple Cinema Display A1316       	Apple Cinema Display A1316/27"/C/Silver                               	        1	 39.0	
          2	Asus PA246Q                      	Asus PA246Q/24"/B/Black                                               	        1	 33.6	
          2	Asus PA248Q                      	Asus PA248Q/24"/A/Black                                               	        2	 42.0	
          2	Asus PA248Q                      	Asus PA248Q/24"/A-/Black                                              	        1	 40.0	
          2	Asus PA249Q                      	Asus PA249Q/24"/A-/Black                                              	        3	 43.0	
          2	Asus VH242H                      	Asus VH242H/24"/A-/Black                                              	        1	 34.0	
          2	Asus VX239H-V                    	Asus VX239H-V/23"/A-/White                                            	        1	 26.0	
          2	BenQ BL2405                      	BenQ BL2405/24"/B/Black                                               	        1	 25.6	
          2	Benq ET-0016-N                   	Benq ET-0016-N/22"/A-/Black                                           	        2	 21.0	
          2	Benq T241WA                      	Benq T241WA/24"/A/Silver                                              	        1	 32.0	
          2	Dell 2007Fpb                     	Dell 2007Fpb/20"/B/Silver                                             	        2	 14.4	
          2	Dell 2007Fpb                     	Dell 2007Fpb/20"/B-/Silver                                            	        1	 12.6	
          2	Dell 2007Fpb                     	Dell 2007Fpb/20"/B/Silver/Black                                       	        1	 14.4	
          2	Dell 2209waf                     	Dell 2209waf/22"/A-/Black                                             	        1	 20.0	
          2	Dell 2209waf                     	Dell 2209waf/22"/None/Black                                           	        1	 22.0	
          2	Dell E2311Hf                     	Dell E2311Hf/23"/B/Black                                              	        1	 22.4	
          2	Dell E2314HF                     	Dell E2314HF/23"/B-/Black                                             	        1	 21.0	
          2	Dell P2210f                      	Dell P2210f/22"/B/Black                                               	        1	 18.4	
          2	Dell P2210t                      	Dell P2210t/22"/B/Black                                               	        1	 18.4	
          2	Dell P2212Hb                     	Dell P2212Hb/21.5"/B/Black                                            	        6	 20.0	
          2	Dell P2213t                      	Dell P2213t/22"/B/Black                                               	        2	 20.8	
          2	Dell P2214Hb                     	Dell P2214Hb/21.5"/B/Black                                            	        3	 23.2	
          2	Dell P2217H                      	Dell P2217H/21.5"/A-/Black                                            	        1	 36.0	
          2	Dell P2217H                      	Dell P2217H/21.5"/B/Black                                             	        1	 30.4	
          2	Dell P2217H                      	Dell P2217H/21.5"/B-/Black                                            	        1	 26.6	
          2	Dell P2217H                      	Dell P2217H/21.5"/C/Black                                             	        1	 19.0	
          2	DELL P2217HC                     	DELL P2217HC/21.5"/B/Black                                            	        1	 30.4	
          2	Dell P2219H                      	Dell P2219H/21.5"/A-/Black                                            	        1	 44.0	
          2	Dell P2219H                      	Dell P2219H/21.5"/B/Black                                             	        1	 36.8	
          2	Dell P2311Hb                     	Dell P2311Hb/23"/B/Black                                              	        2	 22.4	
          2	Dell P2312Ht                     	Dell P2312Ht/23"/A-/Black                                             	        1	 28.0	
          2	Dell P2312HT                     	Dell P2312HT/23"/B/Black                                              	        1	 24.0	
          2	Dell P2314H                      	Dell P2314H/23"/A/Black/Grey                                          	        1	 33.0	
          2	Dell P2314H                      	Dell P2314H/23"/A-/Black                                              	        1	 31.0	
          2	Dell P2314H                      	Dell P2314H/23"/B/Black                                               	        3	 26.4	
          2	Dell P2317H                      	Dell P2317H/23"/A/Black                                               	        1	 46.0	
          2	Dell P2412Hb                     	Dell P2412Hb/24"/A/Black                                              	        1	 34.0	
          2	Dell P2412Hb                     	Dell P2412Hb/24"/A-/Black                                             	        3	 32.0	
          2	Dell P2414HB                     	Dell P2414HB/24"/A-/Silver/Black                                      	        2	 33.0	
          2	Dell P2417H                      	Dell P2417H/24"/A-/Black                                              	        2	 50.0	
          2	Dell P2417H                      	Dell P2417H/24"/B/Black                                               	        1	 41.6	
          2	Dell P2419H                      	Dell P2419H/24"/A/Black                                               	        1	 65.0	
          2	Dell P2419H                      	Dell P2419H/24"/A-/Black                                              	        1	 58.0	
          2	Dell P2422H                      	Dell P2422H/24"/A-/Black                                              	        1	 88.0	
          2	Dell SP2309WC                    	Dell SP2309WC/23"/A-/Black                                            	        1	 29.0	
          2	Dell U2312HM                     	Dell U2312HM/23"/B/Black                                              	        3	 26.4	
          2	Dell U2312HMt                    	Dell U2312HMt/23"/A/Black                                             	        1	 33.0	
          2	Dell U2410f                      	Dell U2410f/24"/C/Black                                               	        1	 16.0	
          2	Dell U2412M                      	Dell U2412M/24"/A/White                                               	        1	 36.0	
          2	Dell U2412M                      	Dell U2412M/24"/A-/White                                              	        1	 34.0	
          2	Dell U2412M                      	Dell U2412M/24"/A-/Black                                              	        2	 34.0	
          2	DELL U2413F                      	DELL U2413F/24"/A-/Black                                              	        2	 37.0	
          2	Dell U2413F                      	Dell U2413F/24"/A-/Black                                              	        1	 37.0	
          2	Dell U2415b                      	Dell U2415b/24"/A-/Silver/Black                                       	        1	 44.0	
          2	Dell U2417H                      	Dell U2417H/24"/A-/Black                                              	        3	 61.0	
          2	Dell U2711                       	Dell U2711/27"/A-/Black                                               	        1	 65.0	
          2	Dell U2711                       	Dell U2711/27"/B/Black                                                	        1	 53.6	
          2	Dell U2711                       	Dell U2711/27"/C/Black                                                	        2	 33.5	
          2	Dell U2713HMt                    	Dell U2713HMt/27"/B/Black                                             	        1	 60.8	
          2	Dell U2713HMt                    	Dell U2713HMt/27"/B-/Black                                            	        1	 53.2	
          2	Dell U2917W                      	Dell U2917W/28"/A-/Black                                              	        2	118.0	
          2	Dell U2917W                      	Dell U2917W/28"/B/Black                                               	        1	 96.0	
          2	Dell U3415Wb                     	Dell U3415Wb/34"/A-/Black                                             	        1	238.0	
          2	Dell U3417W                      	Dell U3417W/34"/A-/Black                                              	        2	263.0	
          2	Dell U3419W                      	Dell U3419W/34"/A-/Black                                              	        1	288.0	
          2	Dell UZ2315Hf                    	Dell UZ2315Hf/23"/A/Black                                             	        1	 34.0	
          2	Dell UZ2315Hf                    	Dell UZ2315Hf/23"/A-/Black                                            	        1	 32.0	
          2	Dell UZ2315Hf                    	Dell UZ2315Hf/23"/B/Black                                             	        1	 27.2	
          2	Eizo EV2436W                     	Eizo EV2436W/24"/A/Black                                              	       29	 36.0	
          2	Eizo EV2436W                     	Eizo EV2436W/24"/A-/Black                                             	       23	 34.0	
          2	Eizo EV2436W                     	Eizo EV2436W/24"/B/Black                                              	        2	 28.8	
          2	Eizo EV2436W                     	Eizo EV2436W/24"/None/Black                                           	        6	 36.0	
          2	Eizo EV2450                      	Eizo EV2450/24"/B/White                                               	        1	 30.4	
          2	Eizo EV2455                      	Eizo EV2455/24"/A/Black                                               	        4	 38.0	
          2	Eizo EV2455                      	Eizo EV2455/24"/A/White                                               	        8	 38.0	
          2	Eizo EV2455                      	Eizo EV2455/24"/A-/Black                                              	        3	 36.0	
          2	Eizo EV2455                      	Eizo EV2455/24"/A-/White                                              	        1	 36.0	
          2	Eizo EV2455                      	Eizo EV2455/24"/B/Black                                               	        2	 30.4	
          2	Eizo EV2455                      	Eizo EV2455/24"/None/Black                                            	        6	 38.0	
          2	Eizo EV2455                      	Eizo EV2455/24"/None/White                                            	        1	 38.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/A/Black                                               	        1	 42.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/A-/Black                                              	        2	 40.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/A-/White                                              	        1	 40.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/A/White                                               	        3	 42.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/A/Yellow                                              	        1	 42.0	
          2	Eizo EV2456                      	Eizo EV2456/24"/B/White                                               	        1	 33.6	
          2	Eizo EV2456                      	Eizo EV2456/24"/None/Black                                            	        2	 42.0	
          2	Eizo EV2736W                     	Eizo EV2736W/27"/A-/Black                                             	        4	 56.0	
          2	Eizo EV2736W                     	Eizo EV2736W/27"/A/Black                                              	       15	 58.0	
          2	Eizo EV2750                      	Eizo EV2750/27"/A/Black                                               	        1	 74.0	
          2	Eizo EV2750                      	Eizo EV2750/27"/None/Black                                            	        1	 74.0	
          2	Eizo S2202w                      	Eizo S2202w/22"/A-/Grey                                               	        3	 21.0	
          2	Eizo S2202w                      	Eizo S2202w/22"/A/Grey                                                	        3	 23.0	
          2	Eizo S2202w                      	Eizo S2202w/22"/B/Grey                                                	        1	 18.4	
          2	Fujitsu A20W-3A                  	Fujitsu A20W-3A/20"/B/Black                                           	        1	 14.4	
          2	Fujitsu A22W-3                   	Fujitsu A22W-3/22"/B/White                                            	        1	 17.6	
          2	Fujitsu B20T-6                   	Fujitsu B20T-6/20"/B/White                                            	        1	 14.4	
          2	Fujitsu B22W-5                   	Fujitsu B22W-5/22"/A/White                                            	        1	 22.0	
          2	Fujitsu B23T-6                   	Fujitsu B23T-6/23"/A/White                                            	       15	 25.0	
