   id	category_id	code	barcode	mpn                 	name                                    	    price	image                                   	feature                                 	vendor          	available	descr	
 3977	       2315	None	None   	WS-C2960-48TT-S     	WS-C2960-48TT-S Комутатор Cisco Catal...	   215.25	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '3397...	CISCO           	        1	None 	
 3976	       2315	None	None   	WS-C2960-24LC-S     	WS-C2960-24LC-S Комутатор Cisco Catal...	   564.57	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '3110...	CISCO           	        1	None 	
 3974	       2315	None	None   	WS-C2960-48PST-S    	WS-C2960-48PST-S Комутатор Cisco Cata...	   662.97	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '1819...	CISCO           	        1	None 	
 3972	       2315	None	None   	CAB-STK-E-0.5M NEW  	CAB-STK-E-0.5M Кабель стековання Cisc...	   404.67	['https://sklep.comel-it.com/data/gfx...	{'Відновлений': '4251', 'Цей продукт ...	CISCO           	        1	None 	
 3964	       2315	None	None   	WS-C3560E-12SD-S    	WS-C3560E-12SD-S Комутатор Cisco Cata...	   2250.9	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '2069...	CISCO           	        1	None 	
 3962	          3	None	None   	CISCO881W-GN-E-K9   	CISCO881W-GN-E-K9                       	   847.29	['https://sklep.comel-it.com/data/gfx...	{'WiFi': '802.11g/n', 'Вага [кг]': '2...	CISCO           	        1	None 	
 3957	          6	None	None   	AIR-AP1141N-E-K9    	AIR-AP1141N-E-K9                        	   367.77	['https://sklep.comel-it.com/data/gfx...	{'MIMO 2.4 ГГц': '2x3:2', 'MIMO 5 ГГц...	CISCO           	        1	None 	
 3956	          6	None	None   	AIR-CT5508-12-K9    	AIR-CT5508-12-K9                        	   1020.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 3952	       1141	None	None   	CP-7941G            	CP-7941G                                	   158.67	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 3950	          6	None	None   	AIR-LAP1142N-E-K9   	AIR-LAP1142N-E-K9                       	   244.77	['https://sklep.comel-it.com/data/gfx...	{'MIMO 2.4 ГГц': '2x3:2', 'MIMO 5 ГГц...	CISCO           	        1	None 	
 3947	       1141	None	None   	CP-7942G            	CP-7942G                                	   170.97	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 3945	          2	None	None   	CWDM-MULTIPLEXER-8  	CWDM-MULTIPLEXER 8 КАНАЛІВ              	   1340.7	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CML             	        1	None 	
 3944	          6	None	None   	AIR-PWR-B           	AIR-PWR-B                               	    84.87	['https://sklep.comel-it.com/data/gfx...	{'Новий': '2734', 'Цей продукт віднов...	CISCO           	        1	None 	
 3943	       1141	None	None   	CP-PWR-CORD-CE      	CP-PWR-CORD-CE                          	    18.45	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CISCO           	        1	None 	
 3940	       1141	None	None   	CP-7925G-E-K9       	CP-7925G-E-K9                           	   958.17	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 3939	       1141	None	None   	CP-PWR-CUBE-4 NEW   	CP-PWR-CUBE-4                           	   220.17	['https://sklep.comel-it.com/data/gfx...	{'Відновлений': '5650', 'Цей продукт ...	CISCO           	        1	None 	
 3938	       1141	None	None   	CP-CAM-C NEW        	CP-CAM-C                                	   244.77	['https://sklep.comel-it.com/data/gfx...	{'Відновлений': '4341', 'Цей продукт ...	CISCO           	        1	None 	
